channel_id,tags,channel_title,profile_picture,list_id,view_count
UCF4-fm1HqnWBT-gPxVpyoaA,"[Só na Conversa,React,Jogos Comfy,Jogos Hardcore,Jogos Indies,Jogos de Terror,Minecraft]",Aoki Iara,https://yt3.ggpht.com/aU1lt44q81oRUxU6YYxuiuLrlAylO-UH5NF5DTpQV5-7pk-mq1vQ8MyJaGBEF78zBmYvzGlPlg=s240-c-k-c0x00ffffff-no-rj,UUF4-fm1HqnWBT-gPxVpyoaA,792180
UCFOsTYpUaPKGwFDnFKqSq4A,"[Só na Conversa,Jogos Comfy,Jogos Indies,Jogos de Terror,Roblox,Arte]",Beniko Art,https://yt3.ggpht.com/8EneK39pJk0A6992y7jxjQU0aGsnvv53bHYB8BcZNNn6fWZ6pRa-vEdpw5rlZ5Vf9q5Ed1jV=s240-c-k-c0x00ffffff-no-rj,UUFOsTYpUaPKGwFDnFKqSq4A,46
UCFvUKcWrkEmiDhw766r8zrA,"[Só na Conversa,Opinião,Cozy,Adulto,Jogos Comfy,Arte]",MiPandy,https://yt3.ggpht.com/hrvjaSTUQ97_hQ_XfQMskxfyrjhHd0FgPEyHI9XRi-NcPA-i0Sv68m9zEx4lkMcX9c0ma47aoHY=s240-c-k-c0x00ffffff-no-rj,UUFvUKcWrkEmiDhw766r8zrA,1776
UCfZ4dIlv32g5ddk2_J2Pi0A,"[Só na Conversa,React,Jogos Competitivos,Jogos Indies,Arte]",oieusouaharu,https://yt3.ggpht.com/eql07B_xJ0yVTDNi_AzYarEOuoZWOqSGs5tDvDRkf0aL5LjRj7fvA7rDTutxJIPOwNazHL3bNA=s240-c-k-c0x00ffffff-no-rj,UUfZ4dIlv32g5ddk2_J2Pi0A,343182
UCfzoJSC6l1KA3Hi1AykoxCQ,"[Só na Conversa,Jogos Comfy,Jogos Hardcore,Jogos Competitivos,Jogos Indies,Jogos de Terror]",Mr P's Show,https://yt3.ggpht.com/MPkgN7BTI3KVvYBBkOuzlyVCSFdq9QpHmWLe0E-jXe4vJz9WvEdIHF_bsXFK_Da1qB_M02nJHA=s240-c-k-c0x00ffffff-no-rj,UUfzoJSC6l1KA3Hi1AykoxCQ,25792
UCGOWH2wsMxOzWEg9OfAYCYg,"[Só na Conversa,Jogos Comfy,Jogos de Terror,Minecraft]",Sukin Ch.,https://yt3.ggpht.com/2qU5mdQSfEnBXYeJxVFLIIzuBW_3BJAuqeBkZdZvC9InNBJUEJQkinD8rlFpuLQCMv7Vn3Bp=s240-c-k-c0x00ffffff-no-rj,UUGOWH2wsMxOzWEg9OfAYCYg,417425
UCh0f6L1OHjfIL6QcclyQvOA,"[Só na Conversa,React,Podcast,Cozy,Adulto,Jogos Comfy,Jogos Hardcore,Jogos Indies,Jogos de Terror,VRChat,Karaoke,Arte]",AkariiNyan,https://yt3.ggpht.com/GkwlQbgTEPuPJ1RpjNjtLcbMXhchXz_x0_310ArL_h54dB3Ns55c7_KDMuTxunkU_Dtdm210=s240-c-k-c0x00ffffff-no-rj,UUh0f6L1OHjfIL6QcclyQvOA,481515
UCh0pMlwfVokFWBHbH9AbSLw,"[Só na Conversa,Cozy,Jogos Comfy,Jogos Competitivos,Jogos Indies,Minecraft,Karaoke]",Inari Shino Ch。🦋,https://yt3.ggpht.com/69OcuIlcJwTOljNJDRgTEerwm9liibeAmitD6UdHh1XJE3PfXcJnTltpvuGu7dtRUYTfIFwQwA=s240-c-k-c0x00ffffff-no-rj,UUh0pMlwfVokFWBHbH9AbSLw,0
UCHdhNPiRnPmOWTcNvWDMWnA,"[React,Jogos Comfy,Jogos Competitivos,Arte]",Dream Wander,https://yt3.ggpht.com/qSspETGya7A0THZlV5ZTZS8M8yc_c-9NBMJH62Bdu6aZcOczx01pPLv41VFz7D-lJ-ex5_vMBA=s240-c-k-c0x00ffffff-no-rj,UUHdhNPiRnPmOWTcNvWDMWnA,69504943
UCHgfCRM8bcgRa_2pplxjjhA,"[Só na Conversa,Opinião,React,Cozy,Jogos Comfy,Jogos Hardcore,Jogos Competitivos,Jogos Indies,Jogos de Terror]","JJ, o Sapinho! (JojOnny)",https://yt3.ggpht.com/yfwS-rp2BC2lREvQaT23hfRJ3CuXk8nIo2p5NJ8xGaK4iNO07uRGrFfIStGd4aJ9OOwkgkzt=s240-c-k-c0x00ffffff-no-rj,UUHgfCRM8bcgRa_2pplxjjhA,12661495
UCHjrqtWTAaGTS9YOOgsTAYQ,"[Podcast,Opinião,React,Jogos Comfy,Jogos Hardcore,Jogos Competitivos,Jogos Indies,Jogos de Terror]",Sailor Nana,https://yt3.ggpht.com/xyd4mWc-0fUpm01puba-4b3-9gjorsKE45SmInqe7gkOvaJrRYdYghWvsaWo_Zy9-aEbtB4sMQ=s240-c-k-c0x00ffffff-no-rj,UUHjrqtWTAaGTS9YOOgsTAYQ,1935166
